Time (s),Red,IR
8.570,31268.0,112553.0
8.580,31259.0,112537.0
8.590,31260.0,112565.0
8.600,31276.0,112622.0
8.610,31266.0,112678.0
8.620,31279.0,112723.0
8.630,31286.0,112786.0
8.640,31274.0,112700.0
8.650,31253.0,112439.0
8.660,31232.0,112338.0
8.670,31240.0,112370.0
8.680,31242.0,112445.0
8.690,31256.0,112508.0
8.700,31267.0,112554.0
8.710,31259.0,112535.0
8.720,31278.0,112509.0
8.730,31276.0,112521.0
8.740,31268.0,112543.0
8.750,31286.0,112583.0
8.760,31300.0,112623.0
8.770,31281.0,112661.0
8.780,31294.0,112694.0
8.790,31288.0,112564.0
8.800,31244.0,112321.0
8.810,31207.0,112232.0
8.820,31206.0,112258.0
8.830,31200.0,112318.0
8.840,31222.0,112366.0
8.850,31236.0,112406.0
8.860,31243.0,112378.0
8.870,31223.0,112337.0
8.880,31227.0,112333.0
8.890,31215.0,112348.0
8.900,31221.0,112388.0
8.910,31224.0,112446.0
8.920,31219.0,112479.0
8.930,31227.0,112514.0
8.940,31204.0,112354.0
8.950,31175.0,112110.0
8.960,31156.0,112039.0
8.970,31183.0,112059.0
8.980,31201.0,112128.0
8.990,31208.0,112204.0
9.000,31211.0,112238.0
9.010,31213.0,112201.0
9.020,31207.0,112189.0
9.030,31204.0,112216.0
9.040,31221.0,112256.0
9.050,31222.0,112339.0
9.060,31229.0,112396.0
9.070,31245.0,112473.0
9.080,31244.0,112505.0
9.090,31234.0,112321.0
9.100,31220.0,112139.0
9.110,31211.0,112143.0
9.120,31216.0,112188.0
9.130,31233.0,112274.0
9.140,31237.0,112363.0
9.150,31241.0,112391.0
9.160,31246.0,112385.0
9.170,31237.0,112403.0
9.180,31239.0,112426.0
9.190,31245.0,112464.0
9.200,31244.0,112530.0
9.210,31286.0,112594.0
9.220,31285.0,112674.0
9.230,31303.0,112646.0
9.240,31292.0,112446.0
9.250,31262.0,112360.0
9.260,31261.0,112405.0
9.270,31263.0,112495.0
9.280,31273.0,112577.0
9.290,31282.0,112642.0
9.300,31285.0,112646.0
9.310,31283.0,112599.0
9.320,31257.0,112612.0
9.330,31255.0,112652.0
9.340,31268.0,112708.0
9.350,31279.0,112745.0
9.360,31292.0,112799.0
9.370,31298.0,112825.0
9.380,31278.0,112646.0
9.390,31252.0,112466.0
9.400,31247.0,112453.0
9.410,31237.0,112507.0
9.420,31235.0,112548.0
9.430,31253.0,112607.0
9.440,31239.0,112614.0
9.450,31227.0,112580.0
9.460,31231.0,112573.0
9.470,31231.0,112568.0
9.480,31229.0,112596.0
9.490,31249.0,112634.0
9.500,31273.0,112691.0
9.510,31258.0,112711.0
9.520,31257.0,112511.0
9.530,31230.0,112291.0
9.540,31212.0,112228.0
9.550,31207.0,112269.0
9.560,31213.0,112298.0
9.570,31211.0,112330.0
9.580,31213.0,112332.0
9.590,31206.0,112288.0
9.600,31193.0,112245.0
9.610,31206.0,112227.0
